Opportunity Name,OP Number,Brand Vertical Classification
Mead Johnson Spark/APEX US Enfamil Q4 2017 OP002305,OP002305,Family & Parenting
Lowe's Starcom/APEX USA TrueView+Bumper Seasonal Q4'17 OP002296,OP002296,Home & Garden
CA Lottery Casanova CA Jackpot Alerts Q4'17 OP002314,OP002314,Arts & Entertainment
Apple OMD US_ATV+ Cherry Trailer_ILAAMS Q1'21 OP007016,OP007016,Arts & Entertainment
Novo Nordisk Wavemaker US OZEMPIC ILAAS Q1'21 OP007034,OP007034,Health & Fitness
Rush Copley GRP Media Rush Copley FY21 OP007418,OP007418,Health & Fitness
CSL Plasma Spark US Awareness Q1-Q2'21 OP007423,OP007423,Health & Fitness
2K Sports Liquid Advertising US NBA2K20 Q3'19 OP003426,OP003426,Arts & Entertainment
Twitch MediaHub US Music Creator Q1'21 OP007333,OP007333,Technology & Computing
Qantas Blue 449/APEX US Discovery Q4 2017 OP002311,OP002311,Travel & Tourism
Men's Wearhouse Publicis/APEX US Fall & Holiday Q3'21-Q1'22 OP008801,OP008801,"Retail, Style & Fashion"
L'Oreal Time Inc Beauty 2017 OP001828,OP001828,
Prudential PGIM USA Q3-Q4 2017 OP002295,OP002295,"Business, Finance, Real Estate"
Napa Spark/APEX US Weekly Sales Event Q3-Q4'20 OP004311,OP004311,Automotive
Disney TV OMG23 US ABC Big Sky Fall Launch Q3-Q4'20 OP005417,OP005417,Arts & Entertainment
Campbell's Spark/APEX US V8 Energy (F20) Q1-Q2'20 OP004310,OP004310,CPG/Food & Drink
Starbucks Starcom/APEX US Summer I Q2'20 OP004358,OP004358,Quick Service Restaurant (QSR)
Mueller Ramp97 US Kinesiology Tape Q2-Q4'20 OP004359,OP004359,Health & Fitness
Ralph Lauren/APEX US 2020 Summer Olympics Q2-Q3'20 OP004360,OP004360,"Retail, Style & Fashion"
Tito's Vodka Publicis/APEX US Local Market West CA Q2-Q4'20 OP004641,OP004641,Alcohol/LDA
Providence Health MediaPlus OC Extraordinary Team Q2-Q3'20 OP004872,OP004872,Health & Fitness
JoS. A Bank Publicis/APEX US Fall/Holiday 2H'20 OP005587,OP005587,"Retail, Style & Fashion"
Injectafer Starcom/APEX US Brand Campaign Q3'20 OP004370,OP004370,Health & Fitness
"Amazon Prime Video Initiative US ""Upload"" Whitelisting Q2'20 OP004378",OP004378,Arts & Entertainment
Mastercard Carat International Whitelist Managed Service UEFA Q2-Q3'20 OP004377,OP004377,"Business, Finance, Real Estate"
Honda Delaware Valley Spark/APEX US Hamilton Fringe Q1'20 OP004263,OP004263,Automotive
Honda Delaware Valley Spark/APEX US Price Fringe Q1'20 OP004265,OP004265,Automotive
Southwest Airlines Spark Foundry/APEX SAN DIEGO Market Centric Q3'20 OP004255,OP004255,Travel & Tourism
Novartis Starcom/APEX US Beovu Q3-Q4'20 OP004249,OP004249,Health & Fitness
Southwest Airlines Spark Foundry/APEX Honolulu Hawaii On Island Q2'20 OP004236,OP004236,Travel & Tourism
Southwest Airlines Spark Foundry/APEX Lihue Hawaii On Island Q2'20 OP004238,OP004238,Travel & Tourism
Grupo Bimbo Starcom/APEX US Sara Lee Bread Brands Brioche Q1-Q2'20 OP004234,OP004234,CPG/Food & Drink
Southwest Airlines Spark Foundry/APEX SAN DIEGO Market Centric Q2'20 OP004254,OP004254,Travel & Tourism
Southwest Airlines Spark Foundry/APEX SAN DIEGO Market Centric Q4'20 OP004256,OP004256,Travel & Tourism
Honda Delaware Valley Spark/APEX US Boardwalk Fringe Q1'20 OP004231,OP004231,Automotive
"Dunkin' Publicis/APEX US Girl Scouts, Go2s, Beyond Meat Q1'20 OP004258",OP004258,Quick Service Restaurant (QSR)
Dunkin' Publicis/APEX US Go2s Q1'20 OP004243,OP004243,Quick Service Restaurant (QSR)
Grupo Bimbo Starcom/APEX US Sara Lee Bread Brands White Wheat Q3'20 OP004235,OP004235,CPG/Food & Drink
Keck Medicine MBMG Los Angeles USC Spine Q2-Q3'20 OP004268,OP004268,Health & Fitness
Honda Delaware Valley Spark/APEX US Piazza Fringe  FY21 (Q1+Q3-Q4) OP004233,OP004233,Automotive
Honda Delaware Valley Spark/APEX US Avalon Fringe Q1'20 OP004232,OP004232,Automotive
Honda Delaware Valley Spark/APEX US Lehigh Valley Fringe FY21 (Q1+Q4) OP004264,OP004264,Automotive
Tito's Vodka Publicis/APEX US Local Market East FY'20 OP004266,OP004266,Alcohol/LDA
Southwest Airlines Spark Foundry/APEX Lihue Hawaii On Island Q1'20 OP004237,OP004237,Travel & Tourism
FDA Initiative US Smokeless Q1-Q4'20 OP004281,OP004281,Health & Fitness
Cici's Pizza US Data Licensing (WLAAS) Q1'20 OP004272,OP004272,Quick Service Restaurant (QSR)
Honda Delaware Valley Spark/APEX Philly Awareness FY'20 OP004280,OP004280,Automotive
Campbell's Spark/APEX US Kettle Chips (F20) Q2-Q3'20 OP004277,OP004277,CPG/Food & Drink
Starbucks Starcom/APEX US NCP Cold Brew DSV Q2-Q3'20 OP004287,OP004287,CPG/Food & Drink
Shamrock Farms Campbell Ewald US Rockin Protein Plus Q1'20 OP004285,OP004285,CPG/Food & Drink
Southwest Airlines Spark Foundry/APEX US CUSTOMER DEV Q2'20 OP004292,OP004292,Travel & Tourism
Campbell's Spark/APEX US Cape Cod Chips (F20) Q1-Q3'20 OP004294,OP004294,CPG/Food & Drink
CDC Centers for Disease Control and Prevention PM/APEX US Youth Q1-Q4'20 OP004290,OP004290,Health & Fitness
Buffalo Wild Wings Mindshare US Local Market Test Q1'20 OP004296,OP004296,Quick Service Restaurant (QSR)
Grupo Bimbo Starcom/APEX US ABO Buns & Rolls Q2-Q3'21 OP005218,OP005218,CPG/Food & Drink
Ralph Lauren/APEX US Lauren by Ralph Lauren Spring Q1-Q2'20 OP004293,OP004293,"Retail, Style & Fashion"
Disney Starcom/APEX US Movie Club Q3'20 OP005369,OP005369,Arts & Entertainment
"Under Armour Digitas/APEX US National, Local & Media Mix FY'20 OP004297",OP004297,"Retail, Style & Fashion"
McDonalds OMD US Hispanic Market FY21 OP005209,OP005209,Quick Service Restaurant (QSR)
Ralph Lauren/APEX US Polo Shirt Q2'20 OP004301,OP004301,"Retail, Style & Fashion"
Covered CA Casanova CA SE20 HM Q1-Q2'20 OP004306,OP004306,Health & Fitness
GoldieBlox US Organic/Paid Tie-In Coronavirus Tips Whitelist as a Managed Service Q2'20 OP004668,OP004668,CPG
Buffalo Wild Wings Mindshare US Blue Moon BBQ Sauce + Light Sky Beer Q2'20 OP004303,OP004303,Quick Service Restaurant (QSR)
Mars/Wrigley: Walmart Shopper H&W Initiative Q1 2017 OP001763,OP001763,CPG
Kao Publicis/APEX US Biore Awareness Q2'21 OP007571,OP007571,"Retail, Style & Fashion"
Nestle Spark/APEX US Drumsticks ROAS Q2'21 OP007605,OP007605,CPG/Food & Drink
Cicis Pizza Test Campaign Q1 2017 OP001717,OP001717,Quick Service Restaurant (QSR)
Citi: Retail Bank Video (Priority & Gold) Miami Q1 2017 OP001781,OP001781,"Business, Finance, Real Estate"
NBC - Queen of the South OP001803,OP001803,Arts & Entertainment
SAP Digital Products Test 2017 OP001798,OP001798,Technology & Computing
Spin Master Initiative US Flush Force Q3-Q4'18 OP002570,OP002570,CPG
Chevron Q1 2017 Vox Video Campaign OP001745,OP001745,
Athena 2017 OP001753,OP001753,Education
Smucker's Zenith/APEX US Dunkin At Home FY22 (Q2'21-Q2'22) OP007733,OP007733,CPG/Food & Drink
McDonalds: STL Regional Q1-Q4 2017 OP001774,OP001774,Quick Service Restaurant (QSR)
Rich Dad Webinar Sign Ups DR Q1 2017 OP001768,OP001768,"Business, Finance, Real Estate"
Lexus LGBTQ+ Walton Isaacson US Conscious Project GO Q3-Q4'21,Q3-Q4'21,Automotive
Kaplan University Q1-Q2 2017 OP001773,OP001773,Education
Sleep Outfitters Horizon Media US Amplification FY21 OP007603,OP007603,"Retail, Style & Fashion"
Chef Merito Seasonings Sensis DMAs Brand Awareness FY'21 OP007499,OP007499,CPG/Food & Drink
Burger King Horizon US Awareness Q2'21 OP007500,OP007500,Quick Service Restaurant (QSR)
OPTIMA Batteries FY'17 RFP OP001810,OP001810,Automotive
DPSG: Canada Dry Initiative US CD Base Q2-Q3'17 OP001776,OP001776,CPG/Food & Drink
Mattel Spark US Polly Pocket Channel Science ILAAS FY2021 OP007681,OP007681,CPG
Amgen MEC USA Enbrel Derm Q1 2017 OP001771,OP001771,Health & Fitness
ELEAGUE 2017 Media/Influencer OP001800,OP001800,Sports
Foot Locker All Star Game 2017 OP001811,OP001811,Sports
WWE Royal Rumble  Q1 2017 OP001752,OP001752,Arts & Entertainment
KERA Q1-Q4 2017 Campaign OP001764,OP001764,Arts & Entertainment
Grupo Bimbo Starcom/APEX US Sara Lee Q1-Q2'17 OP001843,OP001843,CPG/Food & Drink
Terra's Kitchen Q1 2017 OP001720,OP001720,"Business, Finance, Real Estate"
UGG Women's Spring Q1 2017 OP001782,OP001782,
Spin Master Initiative US Batman Spring Q1'21 OP007400,OP007400,CPG
Arapahoe County Amelie COVID Vaccine Awareness Q2-Q3'21 OP007850,OP007850,Society
Campbell's MEC US Q1 Campaign Q1'17 OP001729,OP001729,CPG/Food & Drink
LVMH Dior Poison Girl Q1-Q2 2017 OP001809,OP001809,"Retail, Style & Fashion"
Alcon Laboratories Starcom/APEX US Systane Complete Q2'21 OP007446,OP007446,Health & Fitness
Apoquel Blogger & Media 2017 OP001714,OP001714,Health & Fitness
NBA NCAA March Madness Q1 2017 OP001734,OP001734,Sports
HBO: The Immortal Life of Henrietta Lacks Q2 2017 OP001790,OP001790,Arts & Entertainment
AutoZone Product Launch 1Q17 OP001814,OP001814,Automotive
GoPuff Starcom/APEX US Awareness Q1-Q2'21 OP007334,OP007334,CPG/Food & Drink
Gillette Male Audience Q1 2017 OP001755,OP001755,
Macy's Style & Co Q2 2017 OP001794,OP001794,"Retail, Style & Fashion"
Silk'n Jewel Product Launch,t Launch,
Mars/Wrigley Shopper Cesar Dry & Pedigree Pouches Q1-Q2 2017 OP001778,OP001778,
CA Lottery Casanova CA Loteria Q1'17 OP001821,OP001821,Arts & Entertainment
US Customs and Border Patrol Q3 2017 OP001724,OP001724,"Law, Govt & Politics"
Airbnb Starcom/APEX Check-in Trips Groundswell Proposal 2017 OP001713,OP001713,Travel & Tourism
McDonalds: Charlottesville Regional Q1-Q4 2017 OP001787,OP001787,Quick Service Restaurant (QSR)
GroupeSeb Q1 OP001793,OP001793,Home & Garden
Alcon Laboratories Starcom/APEX US Systane Hydration Q2-Q4'21 OP007441,OP007441,Health & Fitness
Sony Music: The Unlikely Candidates Q2 2017 OP001783,OP001783,Arts & Entertainment
UCSF BCHs Palisades Media USA UCSF BCHs 2017: Q1-Q2 OP001815,OP001815,Health & Fitness
SoulCycle Q1 2017 OP001770,OP001770,Health & Fitness
Luxottica Publicis/APEX US Lenscrafters Q3-Q4'20 OP005087,OP005087,"Retail, Style & Fashion"
Prudential Group Insurance (CGLI) Q1-Q2 2017 OP001820,OP001820,"Business, Finance, Real Estate"
Sony Music: Hans Zimmer Q1 2017 OP001780,OP001780,Arts & Entertainment
Ally Financial Spark US Brand Campaign Q1-Q2'17 OP001796,OP001796,"Business, Finance, Real Estate"
Mars/Wrigley Guardians of the Galaxy Shopper Campaign Q2 2017 OP001715,OP001715,
Navy OP001795,OP001795,"Law, Govt & Politics"
Howe Law CAMG GA & MS Personal Injury Campaign Guaranteed Outcomes Q2-Q3'2021 OP008434,OP008434,"Law, Govt & Politics"
Pieology Q2 2017 OP001818,OP001818,
McDonalds: Richmond Regional Q1-Q4 2017 OP001786,OP001786,Quick Service Restaurant (QSR)
Dieste: Goya YouTube Campaign: Q1'17 OP001772,OP001772,CPG/Food & Drink
Influencer Custom Subscription Box OP001718,OP001718,
UCLA March Madness Q1-Q2 2017 OP001788,OP001788,Sports
Enbridge Publicis/APEX Ohio Max Avails Reach Q2'21 OP007864,OP007864,Energy Oil/Gas
Southwest Airlines Spark Foundry/APEX US Customer Development Q2'21 OP007623,OP007623,Travel & Tourism
Augusta Precious Metals Q1 2017 OP001784,OP001784,
Mars/Wrigley Starcom/APEX USA Valentine's Day /Target Shoppers Q1 2017 OP001709,OP001709,CPG
Almond Board Online North America Consumer Q1-Q2 2017 OP001779,OP001779,
Wynn Las Vegas 2017 OP001749,OP001749,Travel & Tourism
Airbnb Experiences Influencer Program Q1 2017 OP001767,OP001767,Travel & Tourism
Missouri Division of Tourism Q1-Q2 2017 OP001791,OP001791,Travel & Tourism
Acura TLX Launch Q2 2017 OP001769,OP001769,Automotive
Arrow Electronics Q1 2017 OP001722,OP001722,Technology & Computing
Mattel Mega Construx - Halo Q1 2017 OP001816,OP001816,
McDonalds: Lexington Regional Q1-Q4 2017 OP001775,OP001775,Quick Service Restaurant (QSR)
Reliant Energy Blue 449/APEX US Houston and Dallas Incremental Q4'18 OP003182,OP003182,Energy Oil/Gas
Paper and Packaging Board Starcom/APEX US Design Challenge Q4'18 OP003185,OP003185,"Business, Finance, Real Estate"
Apple OMD US Bonito Flakes Preroll LAAS Q3'21 OP009602,OP009602,Arts & Entertainment
Grupo Bimbo Starcom/APEX US ABO Organic Q2-Q3'19 OP003205,OP003205,CPG/Food & Drink
Starbucks Starcom/APEX US Starbucks Plus Q1'19 OP003180,OP003180,CPG/Food & Drink
Amazon Prime Video Initiative US Lorena Q1'19 OP003171,OP003171,Arts & Entertainment
Ace Hardware Spark/APEX US General Campaign Q1'19 OP003145,OP003145,Home & Garden
Amazon Prime Video Initiative US The Widow Q1'19 OP003184,OP003184,Arts & Entertainment
Apple OMD US ATV+ Morning Show S2 ILAAMS Q3'20 OP009599,OP009599,Arts & Entertainment
Lyft Blue449/APEX Atlanta/Boston DMA Brand Campaign Q1'19-Q2'19 OP003148,OP003148,Automotive
Western Michigan University EchoPoint Media US Brand Campaign Q3'21 - Q2'22 OP009620,OP009620,Education
Honda Delaware Valley Spark/APEX Philly FY'19 OP003183,OP003183,Automotive
Enbridge Publicis/APEX Michigan State Awareness Avails Continuation Q4'21 OP009691,OP009691,Energy Oil/Gas
Red Lobster Spark/APEX US Event 6 (19.6) w Director Mix Lobsterfest Q1-Q2'19 OP003221,OP003221,Quick Service Restaurant (QSR)
Southwest Airlines Spark Foundry BAY AREA FY'19 OP003208,OP003208,Travel & Tourism
Southwest Airlines Spark Foundry FLL AREA FY'19 OP003212,OP003212,Travel & Tourism
Paramount Home Entertainment Wavemaker US Nobody's Fool EST Q1'19 OP003213,OP003213,Arts & Entertainment
Spin Master PHD US Paw Patrol Discovery Q3'21 OP009729,OP009729,"Retail, Style & Fashion"
Reckitt Benckiser Zenith/APEX US Cepacol Instamax Q1+Q4'19 OP003197,OP003197,CPG
Edible Arrangements nHouse US Purchase Intent Q4'18 OP003201,OP003201,CPG
Nature Made Neo-Mindshare US Nature Made Brand Awareness ILAAS Q3-Q4'21 OP009726,OP009726,CPG
Reckitt Benckiser Zenith/APEX US Delsym Q1+Q4'19 OP003198,OP003198,CPG
Chevy Carat US Silverado Q1'19 OP003209,OP003209,Automotive
Duracell APEX Canada Awareness Q1-Q4'19 OP003187,OP003187,CPG
Sony Music US Christmas at the Movies Awareness Q4'18 OP003206,OP003206,Arts & Entertainment
Nintendo Blue 449/APEX US Nintendo 3DS Q4'18-Q1'19 OP003202,OP003202,Technology & Computing
Sound Credit Union MediaPlus US Life Events Q3-Q4'21 OP009710,OP009710,"Business, Finance, Real Estate"
Sony Music US Yanni Awareness Q4'18 OP003207,OP003207,Arts & Entertainment
Southwest Airlines Spark Foundry SAN DIEGO AREA FY'19 OP003210,OP003210,Travel & Tourism
The Carlos Watson Show OZY Media US Professionals Q3'21 OP009693,OP009693,Arts & Entertainment
Post Cereal Spark/APEX US Hostess Cereal Q1'19 OP003186,OP003186,CPG/Food & Drink
TikTok Publicis/APEX US Awareness Q4'18 OP003219,OP003219,Arts & Entertainment
eBay Blue 449/APEX US Holiday Q4'18 OP003204,OP003204,"Retail, Style & Fashion"
ATT Hearts & Science US Mobility Postpaid LOB Demand GEN HM ILAAS Q3 2021 OP009712,OP009712,Telecommunication
Southwest Airlines Spark Foundry HOU AREA FY'19 OP003215,OP003215,Travel & Tourism
Grupo Bimbo Starcom/APEX US ABO Core Q2-Q3'19 OP003203,OP003203,CPG/Food & Drink
Under Armour Spark/APEX Canada Q1-Q4'19 OP003188,OP003188,"Retail, Style & Fashion"
Reckitt Benckiser Zenith/APEX US Digestive Advantage Base & Kids Q1-Q4'19 OP003200,OP003200,CPG
Quest Nutrition The Many US Awareness Q1'19 OP003190,OP003190,CPG/Food & Drink
Campbell's Spark/APEX US Cape Cod Chips FY22 OP009720,OP009720,CPG/Food & Drink
Amazon Prime Video Initiative US Hanna Q1-Q2'19 OP003194,OP003194,Arts & Entertainment
TruGreen Blue 449/APEX US Awareness Q1-Q2'19 OP003217,OP003217,Home & Garden
Southwest Airlines Spark Foundry ATL AREA FY'19 OP003211,OP003211,Travel & Tourism
Ben Bridge Jeweler Media Plus US BB & Pandora Valentine's Day Q1'19 OP003196,OP003196,"Retail, Style & Fashion"
REI Spark/APEX US Brand Q2-Q3'19 OP003191,OP003191,"Retail, Style & Fashion"
Bel Brands Spark/APEX US The Laughing Cow FY'19 OP003189,OP003189,CPG/Food & Drink
Campbell's Spark/APEX US Kettle Chips (FY22) OP009711,OP009711,CPG/Food & Drink
Sony Music US The Piano Guys Awareness Q4'18 OP003195,OP003195,Arts & Entertainment
Amazon Prime Video Initiative US Good Omens Q2'19 OP003193,OP003193,Arts & Entertainment
Covered CA Campbell Ewald CA Special Enrollment 19 GM Q1-Q2'19 OP003199,OP003199,Health & Fitness
VF Corp Publicis/APEX US Timberland Pro Q3-Q4'21 OP009725,OP009725,"Retail, Style & Fashion"
Paramount Home Entertainment Wavemaker US Nobody's Fool DVD Q1'19 OP003214,OP003214,Arts & Entertainment
Suja Exverus DMAs Suja 2H'21 OP010138,OP010138,CPG/Food & Drink
Paramount Home Entertainment Wavemaker US Overlord EST Q1'19 OP003230,OP003230,Arts & Entertainment
Grupo Bimbo Starcom/APEX US Sara Lee Artesano Bread Q1-Q2'19 OP003232,OP003232,CPG/Food & Drink
Grupo Bimbo Starcom/APEX US Sara Lee Butter Bread Q1'19 OP003233,OP003233,CPG/Food & Drink
OFX Just Global US & Canada Channel Science IL Q3-Q4'21 OP010156,OP010156,"Business, Finance, Real Estate"
Reliant Energy Blue 449/APEX Texas 2019 Q1-Q2'19 OP003237,OP003237,Energy Oil/Gas
Novartis Starcom/APEX US Mayzent Q3-Q4'20 OP005433,OP005433,Health & Fitness
USTA Starcom/APEX US Let's Go There Q3'20 OP005434,OP005434,Travel & Tourism
Mattel Spark/APEX US Barbie Spring 2019 Q1-Q3'19 OP003222,OP003222,CPG
Red Lobster Spark/APEX US Event 5 Q1'19 OP003224,OP003224,Quick Service Restaurant (QSR)
Circle K Marlin Network CA OR WA Private Label Q1'19 OP003229,OP003229,CPG/Food & Drink
Resthaven/Launchpunk Media Grand Rapids DMA Awareness FY21 OP010135,OP010135,Uncategorized
Merkle_Brex Q3_ILAAS OP010438,OP010438,"Business, Finance, Real Estate"
Johnson Becker Law CAMG US Pressure Cooker Law Suit Campaign GO Q3'21 OP009938,OP009938,"Law, Govt & Politics"
Paramount Home Entertainment Wavemaker US Instant Family EST Q1'19 OP003246,OP003246,Arts & Entertainment
PurpleBricks APEX US Real Estate Q1'19 OP003244,OP003244,"Business, Finance, Real Estate"
Drive Sober or Get Pulled Over Media Brokers Alabama Awareness Q4'18 OP003248,OP003248,Education
BrandVerge GO US New to Market CPG Campaign Q3'21 OP009926,OP009926,CPG/Food & Drink
2 Men & A Truck Michigan Recruitment & Lead Gen Campaign Q2-Q3'19 OP003249,OP003249,"Business, Finance, Real Estate"
Paramount Home Entertainment Wavemaker US Instant Family DVD/Blu-Ray Q1'19 OP003247,OP003247,Arts & Entertainment
Fair Publicis/APEX California Awareness Q4'18 OP003245,OP003245,Automotive
Montgomery College JL Media DMA Awareness GO IL Q3'21 OP009941,OP009941,Education
Post Cereal Spark/APEX Canada Honey Bunches of Oats More Granola Q1-Q2'19 OP003243,OP003243,CPG/Food & Drink
Apple OMD US ATV+ CODA ILAAMS Q3'21 OP009955,OP009955,Arts & Entertainment
Starbucks Starcom/APEX US Summer Awareness Q2-Q3'21 OP007398,OP007398,CPG/Food & Drink
Sanrio Casanova US Hello Kitty Q1-Q4'21 OP007752,OP007752,CPG
Enbridge RFI Publicis/APEX Minnesota Max Avails FY21 Continuation OP007458,OP007458,Energy Oil/Gas
Citi Entertainment Starcom/APEX US Virtual Events Q1'21 OP007570,OP007570,"Business, Finance, Real Estate"
Sphero Share Program Q2 OP001901,OP001901,Technology & Computing
Sony Electronics: Audio FY17 Q1 2017 -2018 OP001880,OP001880,Technology & Computing
Goodwill Echopoint Media Indiana Goodwill Indiana 2021 Campaign FY'21 OP007414,OP007414,"Retail, Style & Fashion"
Spin Master Initiative US Hatchimals Fall Q3-Q4'18 OP002583,OP002583,CPG
ATT Hearts & Science US Internet LOB ILAAS Q1-Q4'21 OP007088,OP007088,Telecommunication
McDonalds OMD US HCM Craveability FTHR Q2'21 OP007194,OP007194,Quick Service Restaurant (QSR)
Apple OMD US Fitness+_ILAAMS Q1'21 OP007235,OP007235,Health & Fitness
Dunkin' Publicis/APEX US Heroes Q2'20 OP004667,OP004667,Quick Service Restaurant (QSR)
Mercury Marine Spark/APEX US Q3 '17 OP001886,OP001886,Hobbies & Interests
Sony: 2Cello Score Q1 2017 OP001888,OP001888,Arts & Entertainment
MOCK OP - BEGINNER LEVEL,ER LEVEL,Home & Garden
Enbridge RFI Publicis/APEX Wisconsin Max Avails Q1-Q2'21 OP007692,OP007692,Energy Oil/Gas
McDonalds OMD US HCM Beverage AST Q3-Q4'21 OP008814,OP008814,Quick Service Restaurant (QSR)
NAPA Autoparts PM/APEX US General Market Q2-Q4'21 OP007501,OP007501,Automotive
XAXIS US FY2021 NY Accounts OP007890,OP007890,Uncategorized
Paper and Packaging Board Starcom/APEX US OLV FY'21 OP007399,OP007399,"Business, Finance, Real Estate"
Apple OMD US_ATV+ Billie Trailer #2_ILAAMS Q1'21 OP007381,OP007381,Arts & Entertainment
Under Armour Spark/APEX US Phantom Q4'19 OP003901,OP003901,"Retail, Style & Fashion"
Nestle Spark/APEX US Haagen-Dazs Reinvestment Q2-Q3'21 OP007784,OP007784,CPG/Food & Drink
Ralph Lauren Digitas/APEX US Luxury Spring Q1-Q2'21 OP007631,OP007631,"Retail, Style & Fashion"
The Carlos Watson Show OZY Media US Real Talk Real Change Q2'21 OP008313,OP008313,Arts & Entertainment
Zelle Pereira O'Dell US Channel Science FY21 OP008315,OP008315,"Business, Finance, Real Estate"
Northern Trust GRP Media US Asset Servicing Brand Campaign Q2-Q4'21 OP008317,OP008317,"Business, Finance, Real Estate"
Vanity Fair Barkley US Brand Campaign Q2-Q3'21 OP008318,OP008318,"Retail, Style & Fashion"
Ralph Lauren/APEX US RL Lauren Holiday Awareness Q4'19 OP003902,OP003902,"Retail, Style & Fashion"
Sound Credit Union MediaPlus US PPP Loan Inititative Q2'21 OP008286,OP008286,"Business, Finance, Real Estate"
Pocky RPA West Coast Brand Campaign 2H21 Q3-Q4'21OP008308,OP008308,CPG/Food & Drink
Intel Dentsu US Industry Compete ILAAS Q3-Q4'21 OP008322,OP008322,Technology & Computing
American Standard Echopoint Media US Brand Campaign Q1-Q2'21 OP007319,OP007319,Home & Garden
Honda Powersports Initiative US Two-Wheel Vehicle (Rebel) Campaign FY'22 OP008354,OP008354,Automotive
Lindt Omnet US Classic Recipe Milk Chocolate Bar Q2-Q4'21 OP008355,OP008355,CPG/Food & Drink
Duke's Mayonnaise Q2-Q3'17 OP001894,OP001894,
Tyson Mindshare US Conscious Voices ILAAS Q3'21 OP007684,OP007684,CPG
Starbucks Starcom/APEX US NCP Nespresso Originals Q1'21 OP007437,OP007437,CPG/Food & Drink
ATT Hearts & Science US ABS LOB SMB Mobility ILAAS Q2-Q4'21 OP008423,OP008423,Telecommunication
Edgewell Publicis/APEX US Carefree Stayfree Q3'21 OP008748,OP008748,CPG
Chanel GroupM Mindshare US Fragrance Mother's Day Channel Science Q2'21 OP007252,OP007252,"Retail, Style & Fashion"
Colgate Red Fuse US Renewal Gum Health Phase 2 USH ILAAS Q2'21 OP007847,OP007847,CPG
Verizon APEX Pro Bono Superbowl Concert Q1'21 OP007382,OP007382,Telecommunication
ATT Hearts & Science US Mobility Prepaid LOB ILAAS Q2 2021 OP008394,OP008394,Telecommunication
Arby's Initiative US Local Arbynator GR Test Q4'17 OP002373,OP002373,Quick Service Restaurant (QSR)
